"y","x","t"
2.244025,85,0
1.332642,65,0
0.5317293,85,0
0.227935,54,0
0.5317293,54,0
0.227935,30,0
0.5317293,57,0
0.7802883,45,0
0.0346114,54,1
0.310788,27,0
1.664054,61,0
-0.4072712,18,1
0.5317293,79,0
0.0346114,48,0
0.7802883,74,0
-0.4901242,18,0
4.011555,69,0
2.244025,57,0
1.664054,65,0
-0.6558302,33,1
0.0346114,61,1
2.244025,85,0
-1.042477,18,1
1.332642,74,0
-0.3520359,-13,0
-0.2691829,36,0
1.664054,74,0
1.1117,69,0
-0.4901242,33,0
-0.1034769,42,0
0.4212587,74,0
-0.4901242,24,0
-0.1034769,51,0
0.0346114,39,1
-1.208183,48,1
0.4212587,54,1
0.310788,54,0
1.1117,121,0
0.4212587,33,0
-0.2691829,24,1
0.5317293,85,0
-0.7939185,24,0
0.4212587,74,0
0.7802883,61,0
0.5317293,36,1
0.4212587,36,0
-0.8767715,-19,1
-0.6558302,18,1
0.310788,48,0
-0.9320068,-28,1
0.0346114,15,0
-1.208183,39,0
-1.12533,33,0
0.6422,51,0
-0.1863299,21,0
-1.622448,-19,1
1.1117,85,0
1.664054,79,0
1.332642,69,0
0.6422,65,1
0.4212587,61,0
0.1174644,39,1
0.6422,61,0
-1.401507,-39,0
-0.3520359,30,0
-0.0482416,42,0
-1.12533,-13,0
-2.036713,-39,1
1.1117,93,0
0.0346114,33,0
-0.3520359,18,0
-0.9596245,-13,0
-1.291036,-7,0
0.5317293,65,0
-0.1034769,3,0
0.7802883,79,0
-0.5729772,48,0
-0.6558302,27,0
-0.1034769,33,0
-0.9596245,11,0
0.0346114,30,0
-0.1034769,45,0
-0.1034769,21,0
0.310788,61,0
-0.8767715,-7,0
0.4212587,51,0
-1.732919,21,0
-2.230037,-2,1
0.7802883,69,1
-0.1034769,21,1
-0.7110655,15,0
1.1117,51,0
1.1117,79,0
0.9183766,65,0
-0.7939185,24,1
-0.1863299,42,0
0.7802883,48,0
-0.5729772,27,0
0.9183766,85,0
-1.291036,-13,0
0.6422,54,0
-0.7110655,3,0
1.664054,69,0
-1.291036,18,1
-0.6282125,-7,1
1.1117,79,0
-0.4072712,39,1
-0.7110655,30,0
0.9183766,69,0
-0.3520359,69,0
-1.12533,11,1
0.5317293,61,0
0.227935,39,0
-0.9596245,11,1
0.9183766,93,0
1.332642,69,0
-1.042477,18,0
1.1117,54,0
0.4212587,36,0
0.4212587,39,0
-0.2968006,-13,1
-0.7110655,-2,1
-0.7939185,36,0
-0.8767715,-19,0
-1.732919,39,0
-0.0482416,27,0
-0.2691829,61,0
-0.3520359,33,0
0.1174644,48,0
-0.1863299,57,0
-0.6558302,11,0
0.4212587,48,0
0.7802883,45,0
-0.0482416,18,1
-0.3520359,42,0
-0.0482416,45,0
-1.511978,-143,1
-0.2691829,24,0
-0.8767715,30,0
0.7802883,85,0
0.6422,69,0
1.1117,57,0
0.227935,74,0
-0.5729772,15,0
-0.5729772,3,1
1.1117,69,0
-1.042477,3,0
1.664054,85,0
-0.1863299,18,1
1.332642,61,0
0.5317293,54,0
-0.4072712,15,0
-0.7939185,24,0
-0.1863299,36,1
-0.4901242,7,0
-0.2968006,21,1
-0.0482416,39,1
1.332642,65,0
-0.7110655,15,0
-0.7939185,36,0
0.227935,39,0
-0.9596245,27,0
-0.1863299,51,0
1.664054,121,0
0.227935,51,0
-0.0482416,48,0
-0.4901242,3,0
-1.208183,-2,1
0.1174644,27,0
-1.401507,3,0
-0.5729772,21,0
-0.7110655,18,0
0.1174644,48,0
0.1174644,21,0
0.4212587,33,0
-1.208183,-28,1
-0.7939185,-39,0
-0.0482416,-2,1
1.332642,57,0
0.1174644,18,0
1.332642,69,0
-0.4901242,39,0
0.1174644,30,0
-1.042477,21,0
-0.6558302,24,0
0.6422,79,0
-0.0482416,3,0
0.9183766,79,0
-0.3520359,42,0
1.1117,69,1
0.4212587,69,0
0.0346114,21,0
0.6422,61,0
-0.6282125,-2,1
-0.3520359,30,0
0.227935,42,0
0.4212587,69,1
4.011555,57,0
-0.7939185,-19,0
0.1174644,51,0
-0.1034769,36,0
-0.0482416,27,0
-0.1863299,57,0
-0.2691829,36,0
-0.8767715,33,0
0.227935,57,0
-0.4901242,11,0
-0.3520359,11,0
0.0346114,54,0
1.1117,93,0
-0.0482416,42,1
0.4212587,51,0
-0.6558302,42,0
0.0346114,51,0
-0.6558302,42,0
-1.732919,-55,1
-1.208183,-19,0
0.5317293,36,0
1.1117,93,0
0.310788,51,0
-0.4072712,21,0
-0.8767715,-13,0
1.332642,69,0
-0.4901242,-28,1
0.227935,48,0
0.1174644,45,1
0.310788,57,0
0.7802883,93,0
0.6422,69,0
0.1174644,48,0
-0.1863299,24,0
0.227935,42,0
-0.0482416,33,1
-0.1034769,39,0
2.244025,172,0
0.4212587,51,0
1.664054,121,0
0.1174644,65,0
0.6422,74,0
-0.7663009,15,1
-0.2691829,39,0
0.227935,48,0
0.227935,42,0
-1.732919,11,0
-0.4901242,39,0
0.310788,48,0
-0.1034769,39,1
-0.1034769,24,1
-1.401507,-7,1
-0.0482416,39,1
-0.2691829,33,1
-0.0482416,15,0
-0.3520359,65,0
-0.4072712,30,0
-1.318654,18,0
-0.0482416,39,0
-1.208183,11,0
0.9183766,51,0
-1.291036,3,1
-0.9596245,11,0
0.227935,48,0
0.1174644,39,0
-0.6558302,27,0
0.6422,45,0
-0.4901242,21,0
0.310788,65,0
0.227935,54,1
-0.7939185,-7,1
-0.1863299,51,1
-0.1034769,33,0
0.310788,48,0
1.664054,61,0
0.0346114,61,0
0.4212587,24,0
0.6422,51,0
-0.8767715,30,1
-0.1863299,42,0
0.310788,42,0
-0.7110655,7,0
-0.4901242,3,0
0.9183766,172,0
0.6422,93,0
-0.6558302,3,0
-0.3520359,24,0
0.6422,45,0
-0.3520359,33,1
-0.3520359,-2,1
0.0346114,21,0
1.1117,65,0
0.7802883,54,0
0.310788,54,1
0.227935,30,0
0.9183766,51,0
4.011555,93,0
0.4212587,54,0
0.227935,36,0
-0.7939185,3,0
0.7802883,57,0
-0.7110655,18,0
-0.7110655,-19,0
0.4212587,39,0
-0.2691829,51,0
-0.1034769,11,0
-0.1863299,7,0
-0.4072712,18,0
-0.7939185,30,0
-0.7110655,24,0
0.2003174,21,1
-1.622448,7,0
-0.0482416,27,0
1.1117,54,0
-0.4901242,33,1
-0.3520359,57,0
1.332642,65,0
0.310788,39,0
1.332642,54,0
1.664054,85,0
-0.8767715,21,1
2.244025,74,0
1.332642,74,0
-0.4072712,15,0
-0.1863299,24,0
0.9183766,51,0
0.6422,48,0
0.9183766,30,0
