"y","x","t"
-0.0482416,21,0
0.6422,49,0
0.6422,39,0
1.1117,18,0
0.5317293,24,0
0.7802883,39,0
1.332642,52,0
-2.230037,-91,1
-0.4072712,-70,0
0.0346114,15,0
-0.4072712,21,0
0.310788,45,0
-0.4901242,-1,1
-0.1863299,45,0
0.1174644,15,0
0.1174644,-1,0
-0.4072712,-19,0
1.1117,42,0
1.1117,36,0
0.9183766,61,0
1.664054,74,0
0.7802883,-37,0
0.5317293,49,0
0.7802883,39,0
0.7802883,68,0
-0.7110655,-91,1
-0.1034769,12,0
-0.9596245,11,0
0.227935,45,0
0.7802883,30,0
-0.8767715,-7,1
0.1174644,12,0
0.1174644,-1,0
-0.3520359,24,0
-0.8767715,2,0
-0.5729772,18,0
0.9183766,39,0
-0.5729772,18,0
0.6422,57,0
-0.8767715,27,0
0.4212587,33,0
-0.9320068,-15,1
-0.1863299,-4,1
-0.3520359,-15,0
-0.3520359,21,0
-0.6558302,2,0
2.244025,57,0
-1.732919,-59,0
1.1117,12,0
0.6422,33,0
-0.4072712,-8,1
0.227935,57,0
-0.2691829,15,0
-0.6558302,7,0
-1.208183,-70,1
-0.2691829,-11,1
0.5317293,9,1
0.0346114,9,1
-0.3520359,2,1
-1.622448,-27,0
0.9183766,45,0
0.9183766,68,0
-1.291036,-43,1
-0.5729772,-13,1
0.5317293,24,0
-1.401507,-19,0
-1.042477,2,0
-0.1034769,12,0
-0.1863299,15,0
1.332642,39,0
1.1117,36,0
-0.1034769,11,0
-1.042477,11,1
1.1117,68,0
4.011555,93,0
-0.9596245,-84,0
-0.3520359,15,0
0.4212587,-11,1
0.1174644,24,0
0.227935,39,0
0.1174644,36,0
-1.208183,-19,1
0.5317293,-15,1
-0.5729772,15,0
0.5317293,30,0
0.6422,36,0
-0.7110655,24,0
-0.5729772,-2,0
-0.1034769,-19,0
2.244025,52,0
-1.401507,-8,1
1.664054,24,0
-0.7110655,9,0
0.310788,42,0
-0.1034769,-7,1
0.1174644,-1,1
0.5317293,12,0
-0.5729772,-19,0
0.227935,54,0
-0.1863299,6,0
-1.622448,-32,1
0.0346114,12,1
-0.9596245,-7,1
-1.208183,-55,0
0.7802883,52,0
-0.5729772,-11,1
-0.1863299,-15,0
0.4212587,57,0
-0.6558302,27,0
-0.6558302,-4,1
-0.9596245,-19,1
0.227935,51,0
-1.622448,-23,0
-1.042477,12,0
-0.1034769,-1,0
-0.8767715,-28,1
-0.1034769,12,0
-0.7110655,-32,1
-0.4901242,6,0
-0.6558302,21,0
-0.2691829,36,1
-1.732919,-91,1
-0.2691829,-32,1
0.5317293,39,0
1.1117,52,0
-0.2691829,-1,1
0.6422,36,0
0.0346114,-1,0
0.1174644,-4,1
-0.3520359,-43,0
0.227935,24,0
-0.4901242,-1,0
-0.1863299,18,1
-0.1034769,7,0
-0.4072712,12,0
0.4212587,33,0
0.4212587,21,0
-0.7939185,24,0
0.0346114,30,0
0.1174644,2,0
-0.9596245,9,0
0.310788,51,0
0.0346114,24,0
-1.401507,-23,1
-0.1863299,-4,1
0.4212587,-1,1
0.4212587,2,0
