"z1","z2","x","y"
3.7,3.2,0.45,-0.5541
3.6,3.1,0.35,-0.6904
2.4,1.3,-1.45,-0.5098
3.7,3.4,0.65,-1.0602
4,3.8,1.05,0.1217
4,3.6,0.85,-0.8251
3.3,3.2,0.45,-1.1832
2.7,1.8,-0.95,-2.2303
2.8,3.7,0.0499999999999998,-1.3194
2.5,2.6,-0.25,-2.5721
3.1,3,0.25,-1.1832
4,2.8,0.0499999999999998,-0.2733
4.8,3.5,0.75,1.1543
4.4,4.7,1.65,-1.0485
3.2,2.4,-0.35,-0.8251
2.8,2.2,-0.55,-0.6904
2.7,2.8,-0.0499999999999998,-1.2738
3.9,3.5,0.75,-1.0933
3.3,3.1,0.35,-0.1761
3.2,2.8,0.0499999999999998,-0.0765
2.7,1.6,-1.15,-1.2738
4,2.8,0.0499999999999998,-0.3211
3.6,3,0.25,-0.3211
2.8,3,0.0499999999999998,-1.2738
3.7,3.6,0.85,0.2417
2.9,1.1,-1.65,-1.3194
3.3,0.9,-1.85,-0.6414
3.7,1.8,-0.95,0.013
4.1,3,0.25,0.2417
3.1,2.6,-0.15,-1.1382
3.9,2.7,-0.0499999999999998,0.026
2,1.6,-1.15,-0.8898
3.3,3.7,0.55,-0.8698
5.2,4.5,1.75,-1.3653
3.3,2.8,0.0499999999999998,-0.7803
3.5,2.2,-0.55,-0.5082
3.1,3.4,0.35,-0.5998
2.6,1.3,-1.45,-0.3211
3.5,3.1,0.35,-0.5541
2.1,0.9,-1.85,-0.9591
3.8,3.6,0.85,0.1862
3.4,3,0.25,-0.4154
3.4,2.7,-0.0499999999999998,-1.7467
3,2.8,0.0499999999999998,-0.7354
3.6,2.8,0.0499999999999998,-1.0485
3.1,3,0.25,-0.6904
2.9,2.8,0.0499999999999998,-1.6
3.8,3.8,1.05,-1.0038
4.6,4.4,1.65,-0.0202
3.7,4.2,0.95,-0.6748
4.7,3.7,0.95,-0.7582
2.2,2.2,-0.55,-1.8377
4.3,2.6,-0.15,-0.3211
4.4,4.6,1.65,0.0629
3.1,1.8,-0.95,-0.8898
2.5,2,-0.75,-2.0011
4.3,2.4,-0.35,0.7379
3.3,3.1,0.35,-1.0933
2.8,2.4,-0.35,-1.0038
3.5,1.8,-0.95,-0.3211
4.2,2.2,-0.55,0.026
2.6,1.1,-1.65,-1.9465
3.6,1.8,-0.95,-0.8698
3,3,0.25,-0.5998
4.7,4.7,1.95,0.4155
4.1,3.2,0.45,-0.5541
3.3,2.2,-0.55,-1.0081
4,3.1,0.35,-0.3879
2.6,3.1,-0.15,-1.4115
2.5,3.1,-0.25,-1.6484
3.5,3,0.25,-1.3653
3.8,2,-0.75,-0.3685
4.2,4.7,1.45,-1.0158
3.4,2,-0.75,-1.3194
2.9,2.8,0.0499999999999998,-0.6904
2.7,2.2,-0.55,-1.0933
2.6,1.6,-1.15,-1.0485
3.1,2.8,0.0499999999999998,-1.2284
2.9,2.6,-0.15,-0.2733
3.3,1.8,-0.95,-0.8251
3.9,3.1,0.35,0.5388
6,3.1,0.35,0.9343
3.7,3.5,0.75,0.0785
3.6,4.1,0.85,-2.0053
2.9,2.2,-0.55,-1.0038
3.7,2.8,0.0499999999999998,-0.7582
5.7,3.9,1.15,1.273
2.6,3.4,-0.15,-1.2738
3.7,2,-0.75,-0.5098
4.2,2.7,-0.0499999999999998,0.5388
2.6,1.6,-1.15,-1.5049
3.5,2.7,-0.0499999999999998,-0.462
4,3,0.25,-0.0765
3.8,4,1.05,-0.225
3.8,2.4,-0.35,-0.5082
3.5,3.6,0.75,-0.225
3.2,2.4,-0.35,-1.1832
3.4,4.5,0.65,-0.2733
3.6,3,0.25,-0.1629
2.4,2.2,-0.55,-1.8311
3.6,2.8,0.0499999999999998,-0.7354
2.7,3.4,-0.0499999999999998,-0.1761
2.8,2.4,-0.35,-1.6972
3.6,2.7,-0.0499999999999998,-0.0256
2.5,2,-0.75,-1.0038
4.7,3.4,0.65,-0.3685
3.5,1.8,-0.95,-0.462
2.4,1.6,-1.15,-2.0011
2.9,1.1,-1.65,-2.0053
2.6,0.9,-1.85,-1.1832
1.9,0.9,-1.85,-1.1236
3.5,1.8,-0.95,-0.2996
2.8,1.8,-0.95,-1.0081
2.5,2.6,-0.25,-1.2925
2.3,1.3,-1.45,-1.6
2.2,2.4,-0.55,-0.2114
4.6,3.7,0.95,-0.0202
3.1,2,-0.75,0.1319
3.3,1.3,-1.45,-0.5998
2.2,2.7,-0.55,-2.1722
3,3.6,0.25,-1.3194
3.9,1.8,-0.95,-0.4154
3.8,3.2,0.45,0.4155
3.5,2.7,-0.0499999999999998,0.2417
3.2,1.6,-1.15,-1.2925
3.4,2.7,-0.0499999999999998,-0.6452
2.6,2.7,-0.15,-1.4115
3.9,4.1,1.15,-0.5541
3.8,2.6,-0.15,-0.3685
2.6,0.4,-2.35,-1.2925
4.3,2.6,-0.15,-0.0765
2.7,1.6,-1.15,-2.6331
3.1,2.6,-0.15,-0.5098
2.7,3.2,-0.0499999999999998,-0.6452
3.2,2.4,-0.35,-0.7803
2.8,2.8,0.0499999999999998,-1.5049
4.1,1.6,-1.15,0.0989
2.2,1.9,-0.85,-1.9427
4.1,2.7,-0.0499999999999998,-0.9088
4,2,-0.75,-0.7354
2.4,1.6,-1.15,-2.0011
3.4,3.1,0.35,-1.3875
3.1,1.6,-1.15,-0.5541
2.8,2.4,-0.35,-1.5049
3.5,2.2,-0.55,-1.3653
2.5,2.6,-0.25,-1.5523
2.8,1.3,-1.45,-0.3685
2.6,2.6,-0.15,-1.6
2.5,2.4,-0.35,-1.8994
2.4,2.7,-0.35,-1.7467
3.6,2.8,0.0499999999999998,-0.6452
2.3,1.8,-0.95,-2.0561
4,2.7,-0.0499999999999998,0.0785
2.4,1.8,-0.95,-1.2284
2.4,2,-0.75,-1.458
2.8,2.4,-0.35,-1.0662
3.5,3.5,0.75,-0.9591
